trial,variable,condition,ground_truth,estimate,error,unit
14,lateral,0.300,0.3000,0.278443,-0.021557,m
15,lateral,0.300,0.3000,0.286220,-0.013780,m
16,lateral,0.300,0.3000,0.316662,0.016662,m
17,lateral,0.300,0.3000,0.322810,0.022810,m
18,lateral,0.300,0.3000,0.314626,0.014626,m
19,lateral,0.300,0.3000,0.315169,0.015169,m
20,lateral,0.300,0.3000,0.315862,0.015862,m
21,lateral,0.300,0.3000,0.321175,0.021175,m
22,lateral,0.300,0.3000,0.319765,0.019765,m
23,lateral,0.300,0.3000,0.317796,0.017796,m
24,lateral,0.300,0.3000,0.324829,0.024829,m
25,lateral,0.300,0.3000,0.318965,0.018965,m
26,lateral,0.300,0.3000,0.318492,0.018492,m
27,lateral,0.300,0.3000,0.318601,0.018601,m
28,lateral,0.300,0.3000,0.313965,0.013965,m
29,lateral,0.300,0.3000,0.312786,0.012786,m
30,lateral,0.300,0.3000,0.314417,0.014417,m
1,yaw,-15.0,-15.000,-14.31842,0.68158,deg
2,yaw,-15.0,-15.000,-15.97643,-0.97643,deg
3,yaw,-15.0,-15.000,-14.70510,0.29490,deg
4,yaw,-15.0,-15.000,-14.44393,0.55607,deg
5,yaw,-15.0,-15.000,-14.96969,0.03031,deg
6,yaw,-15.0,-15.000,-14.56159,0.43841,deg
7,yaw,-15.0,-15.000,-13.88000,1.12000,deg
8,yaw,-15.0,-15.000,-14.56210,0.43790,deg
9,yaw,-15.0,-15.000,-14.52745,0.47255,deg
10,yaw,-15.0,-15.000,-15.34788,-0.34788,deg
11,yaw,-15.0,-15.000,-15.57694,-0.57694,deg
12,yaw,-15.0,-15.000,-14.87894,0.12106,deg
13,yaw,-15.0,-15.000,-14.38551,0.61449,deg
14,yaw,-15.0,-15.000,-14.23520,0.76480,deg
15,yaw,-15.0,-15.000,-16.06095,-1.06095,deg
16,yaw,-15.0,-15.000,-15.37072,-0.37072,deg
17,yaw,-15.0,-15.000,-14.71612,0.28388,deg
18,yaw,-15.0,-15.000,-14.27558,0.72442,deg
19,yaw,-15.0,-15.000,-15.90658,-0.90658,deg
20,yaw,-15.0,-15.000,-14.47214,0.52786,deg
21,yaw,-15.0,-15.000,-14.33238,0.66762,deg
22,yaw,-15.0,-15.000,-15.29935,-0.29935,deg
23,yaw,-15.0,-15.000,-14.33665,0.66335,deg
24,yaw,-15.0,-15.000,-14.25382,0.74618,deg
25,yaw,-15.0,-15.000,-15.79880,-0.79880,deg
26,yaw,-15.0,-15.000,-14.55290,0.44710,deg
27,yaw,-15.0,-15.000,-13.99128,1.00872,deg
28,yaw,-15.0,-15.000,-14.93480,0.06520,deg
29,yaw,-15.0,-15.000,-14.48360,0.51640,deg
30,yaw,-15.0,-15.000,-14.67393,0.32607,deg
1,yaw,0.0,0.000,-0.23187,-0.23187,deg
2,yaw,0.0,0.000,0.07026,0.07026,deg
3,yaw,0.0,0.000,0.42344,0.42344,deg
4,yaw,0.0,0.000,2.05408,2.05408,deg
5,yaw,0.0,0.000,-0.32686,-0.32686,deg
6,yaw,0.0,0.000,0.35867,0.35867,deg
7,yaw,0.0,0.000,-0.11248,-0.11248,deg
8,yaw,0.0,0.000,0.64527,0.64527,deg
9,yaw,0.0,0.000,-0.40438,-0.40438,deg
10,yaw,0.0,0.000,0.11385,0.11385,deg
11,yaw,0.0,0.000,-0.08653,-0.08653,deg
12,yaw,0.0,0.000,0.42726,0.42726,deg
13,yaw,0.0,0.000,-0.45275,-0.45275,deg
14,yaw,0.0,0.000,0.41748,0.41748,deg
15,yaw,0.0,0.000,-0.72189,-0.72189,deg
16,yaw,0.0,0.000,-0.42517,-0.42517,deg
17,yaw,0.0,0.000,-0.68328,-0.68328,deg
18,yaw,0.0,0.000,-2.65605,-2.65605,deg
19,yaw,0.0,0.000,-0.40700,-0.40700,deg
20,yaw,0.0,0.000,-0.04351,-0.04351,deg
21,yaw,0.0,0.000,-0.52625,-0.52625,deg
22,yaw,0.0,0.000,-0.39037,-0.39037,deg
23,yaw,0.0,0.000,-0.28410,-0.28410,deg
24,yaw,0.0,0.000,-0.18802,-0.18802,deg
25,yaw,0.0,0.000,0.04780,0.04780,deg
26,yaw,0.0,0.000,0.48447,0.48447,deg
27,yaw,0.0,0.000,2.12079,2.12079,deg
28,yaw,0.0,0.000,0.79725,0.79725,deg
29,yaw,0.0,0.000,0.18118,0.18118,deg
30,yaw,0.0,0.000,-0.84151,-0.84151,deg
1,yaw,15.0,15.000,14.39169,-0.60831,deg
2,yaw,15.0,15.000,14.40624,-0.59376,deg
3,yaw,15.0,15.000,13.70713,-1.29287,deg
4,yaw,15.0,15.000,14.45712,-0.54288,deg
5,yaw,15.0,15.000,13.92619,-1.07381,deg
6,yaw,15.0,15.000,14.45670,-0.54330,deg
7,yaw,15.0,15.000,14.09540,-0.90460,deg
8,yaw,15.0,15.000,14.05771,-0.94229,deg
9,yaw,15.0,15.000,14.06584,-0.93416,deg
10,yaw,15.0,15.000,14.47711,-0.52289,deg
11,yaw,15.0,15.000,13.95900,-1.04100,deg
12,yaw,15.0,15.000,14.63447,-0.36553,deg
13,yaw,15.0,15.000,13.97593,-1.02407,deg
14,yaw,15.0,15.000,14.27145,-0.72855,deg
15,yaw,15.0,15.000,14.38062,-0.61938,deg
16,yaw,15.0,15.000,15.62812,0.62812,deg
17,yaw,15.0,15.000,15.65507,0.65507,deg
18,yaw,15.0,15.000,15.66688,0.66688,deg
19,yaw,15.0,15.000,15.71579,0.71579,deg
20,yaw,15.0,15.000,15.99322,0.99322,deg
21,yaw,15.0,15.000,15.60971,0.60971,deg
22,yaw,15.0,15.000,15.66349,0.66349,deg
23,yaw,15.0,15.000,15.57102,0.57102,deg
24,yaw,15.0,15.000,15.87524,0.87524,deg
25,yaw,15.0,15.000,15.82015,0.82015,deg
26,yaw,15.0,15.000,15.78962,0.78962,deg
27,yaw,15.0,15.000,15.86698,0.86698,deg
28,yaw,15.0,15.000,15.83922,0.83922,deg
29,yaw,15.0,15.000,15.52249,0.52249,deg
30,yaw,15.0,15.000,15.67724,0.67724,deg
