trial,kind,target,actual,error,unit
8,rotation,-30.0,-31.3190,-1.3190,deg
9,rotation,-30.0,-31.8764,-1.8764,deg
10,rotation,-30.0,-31.3229,-1.3229,deg
11,rotation,-30.0,-31.8418,-1.8418,deg
12,rotation,-30.0,-32.1081,-2.1081,deg
13,rotation,-30.0,-31.4763,-1.4763,deg
14,rotation,-30.0,-32.1163,-2.1163,deg
15,rotation,-30.0,-31.3407,-1.3407,deg
16,rotation,-30.0,-29.0982,0.9018,deg
17,rotation,-30.0,-28.4401,1.5599,deg
18,rotation,-30.0,-28.0236,1.9764,deg
19,rotation,-30.0,-29.2034,0.7966,deg
20,rotation,-30.0,-28.9290,1.0710,deg
21,rotation,-30.0,-28.8211,1.1789,deg
22,rotation,-30.0,-28.6815,1.3185,deg
23,rotation,-30.0,-28.9564,1.0436,deg
24,rotation,-30.0,-28.4730,1.5270,deg
25,rotation,-30.0,-29.1582,0.8418,deg
26,rotation,-30.0,-29.0965,0.9035,deg
27,rotation,-30.0,-29.8790,0.1210,deg
28,rotation,-30.0,-28.7273,1.2727,deg
29,rotation,-30.0,-28.5658,1.4342,deg
30,rotation,-30.0,-29.0616,0.9384,deg
1,rotation,30.0,29.6069,-0.3931,deg
2,rotation,30.0,30.2815,0.2815,deg
3,rotation,30.0,29.6353,-0.3647,deg
4,rotation,30.0,29.7588,-0.2412,deg
5,rotation,30.0,29.2952,-0.7048,deg
6,rotation,30.0,30.7060,0.7060,deg
7,rotation,30.0,29.6380,-0.3620,deg
8,rotation,30.0,31.0579,1.0579,deg
9,rotation,30.0,30.4030,0.4030,deg
10,rotation,30.0,30.6077,0.6077,deg
11,rotation,30.0,30.2067,0.2067,deg
12,rotation,30.0,30.9850,0.9850,deg
13,rotation,30.0,29.8594,-0.1406,deg
14,rotation,30.0,29.9181,-0.0819,deg
15,rotation,30.0,31.0783,1.0783,deg
16,rotation,30.0,30.8426,0.8426,deg
17,rotation,30.0,30.5435,0.5435,deg
18,rotation,30.0,31.0691,1.0691,deg
19,rotation,30.0,30.6746,0.6746,deg
20,rotation,30.0,29.6381,-0.3619,deg
21,rotation,30.0,30.4206,0.4206,deg
22,rotation,30.0,29.6345,-0.3655,deg
23,rotation,30.0,30.1742,0.1742,deg
24,rotation,30.0,30.1388,0.1388,deg
25,rotation,30.0,31.0331,1.0331,deg
26,rotation,30.0,30.0631,0.0631,deg
27,rotation,30.0,29.9395,-0.0605,deg
28,rotation,30.0,30.1959,0.1959,deg
29,rotation,30.0,30.4100,0.4100,deg
30,rotation,30.0,30.5728,0.5728,deg
1,rotation,60.0,57.4456,-2.5544,deg
2,rotation,60.0,58.7156,-1.2844,deg
3,rotation,60.0,57.7667,-2.2333,deg
4,rotation,60.0,58.5130,-1.4870,deg
5,rotation,60.0,58.5389,-1.4611,deg
6,rotation,60.0,58.6017,-1.3983,deg
7,rotation,60.0,58.3219,-1.6781,deg
8,rotation,60.0,58.8249,-1.1751,deg
9,rotation,60.0,57.9922,-2.0078,deg
10,rotation,60.0,58.1557,-1.8443,deg
11,rotation,60.0,57.9941,-2.0059,deg
12,rotation,60.0,57.9828,-2.0172,deg
13,rotation,60.0,58.0000,-2.0000,deg
14,rotation,60.0,57.8095,-2.1905,deg
15,rotation,60.0,58.5542,-1.4458,deg
16,rotation,60.0,61.7480,1.7480,deg
17,rotation,60.0,61.9842,1.9842,deg
18,rotation,60.0,61.2797,1.2797,deg
19,rotation,60.0,61.5340,1.5340,deg
20,rotation,60.0,60.9193,0.9193,deg
21,rotation,60.0,62.4336,2.4336,deg
22,rotation,60.0,61.6363,1.6363,deg
23,rotation,60.0,60.8773,0.8773,deg
24,rotation,60.0,61.2604,1.2604,deg
25,rotation,60.0,61.8601,1.8601,deg
26,rotation,60.0,61.7625,1.7625,deg
27,rotation,60.0,61.1396,1.1396,deg
28,rotation,60.0,61.5389,1.5389,deg
29,rotation,60.0,61.6849,1.6849,deg
30,rotation,60.0,61.6104,1.6104,deg
1,rotation,90.0,90.4705,0.4705,deg
2,rotation,90.0,92.5066,2.5066,deg
3,rotation,90.0,89.5570,-0.4430,deg
4,rotation,90.0,94.1330,4.1330,deg
5,rotation,90.0,90.1707,0.1707,deg
6,rotation,90.0,89.8138,-0.1862,deg
7,rotation,90.0,92.5761,2.5761,deg
8,rotation,90.0,90.9847,0.9847,deg
9,rotation,90.0,90.9192,0.9192,deg
10,rotation,90.0,90.9625,0.9625,deg
11,rotation,90.0,92.4260,2.4260,deg
12,rotation,90.0,89.3760,-0.6240,deg
13,rotation,90.0,90.3663,0.3663,deg
14,rotation,90.0,91.0221,1.0221,deg
15,rotation,90.0,91.6489,1.6489,deg
16,rotation,90.0,92.1687,2.1687,deg
17,rotation,90.0,91.0035,1.0035,deg
18,rotation,90.0,86.5193,-3.4807,deg
19,rotation,90.0,90.3689,0.3689,deg
20,rotation,90.0,90.1725,0.1725,deg
21,rotation,90.0,91.1321,1.1321,deg
22,rotation,90.0,90.7842,0.7842,deg
23,rotation,90.0,91.9913,1.9913,deg
24,rotation,90.0,90.6490,0.6490,deg
25,rotation,90.0,89.2760,-0.7240,deg
26,rotation,90.0,91.5990,1.5990,deg
27,rotation,90.0,94.5404,4.5404,deg
28,rotation,90.0,91.4389,1.4389,deg
29,rotation,90.0,90.4238,0.4238,deg
30,rotation,90.0,91.9038,1.9038,deg
